"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"14D","1414 DEGREES LIMITED","2018-09-12","Capital Goods",13533026
"1AD","ADALTA LIMITED","2016-08-22","Pharmaceuticals, Biotechnology & Life Sciences",14138314
"1AE","AURORA ENERGY METALS LIMITED","2022-05-18","Materials",24956923
"1AG","ALTERRA LIMITED","2008-05-16","Food, Beverage & Tobacco",7662078
"1CG","ONE CLICK GROUP LIMITED","2017-04-28","Capital Goods",7544937
"1MC","MORELLA CORPORATION LIMITED","2001-01-08","Materials",79281546
"1ST","1ST GROUP LIMITED","2015-06-09","Health Care Equipment & Services","N/A"
"29M","29METALS LIMITED","2021-07-02","Materials",873661320
"2BE","TUBI LIMITED","2019-06-14","Energy","N/A"
"360","LIFE360 INC.","2019-05-10","Software & Services",1030699685
"3DA","AMAERO INTERNATIONAL LTD","2019-12-06","Capital Goods",70628236
"3DP","POINTERRA LIMITED","2008-03-27","Software & Services",128783179
"3MF","3D METALFORGE LIMITED","2021-03-02","Commercial & Professional Services","N/A"
"3PL","3P LEARNING LIMITED..","2014-07-09","Consumer Services",356664579
"4DS","4DS MEMORY LIMITED","2010-12-09","Semiconductors & Semiconductor Equipment",50312025
"4DX","4DMEDICAL LIMITED","2020-08-07","Health Care Equipment & Services",110434439
"5EA","5E ADVANCED MATERIALS INC.","2022-03-01","Materials",506919937
"5GG","PENTANET LIMITED","2021-01-29","Telecommunication Services",62120250
"88E","88 ENERGY LIMITED","2000-01-20","Energy",182657630
"8CO","8COMMON LIMITED","2014-08-27","Software & Services",20274479
"8IH","8I HOLDINGS LTD","2014-12-17","Diversified Financials",19654579
"8VI","8VI HOLDINGS LIMITED","2015-12-16","Consumer Services",30090810
"92E","92 ENERGY LIMITED","2021-04-15","Energy",38928371
"99L","99 LOYALTY LIMITED.","2013-10-08","Software & Services",11596828
"A11","ATLANTIC LITHIUM LIMITED","2022-09-26","Materials",369502413
"A1G","AFRICAN GOLD LTD.","2019-02-14","Materials",13045604
"A1M","AIC MINES LIMITED","1993-11-04","Materials",170997749
"A2B","A2B AUSTRALIA LIMITED","1999-12-14","Transportation",127292217
